species	qma	stat	zone
POR	POR3	038	038
POR	POR3	049	049
POR	POR3	050	050
POR	POR3	051	051
POR	POR3	052	052
POR	POR3	017	038
POR	POR3	029	029
POR	POR3	030	030
POR	POR3	401	401
POR	POR3	402	401
POR	POR3	403	403
POR	POR3	404	403
POR	POR3	405	049
POR	POR3	406	050
POR	POR3	701	036
POR	POR3	706	033
POR	POR3	501	031
POR	POR3	603	601
POR	POR3	504	027
POR	POR3	303	026
POR	POR3	606	601
POR	POR3	610	601
POR	POR3	612	601
POR	POR3	604	601
POR	POR3	302	026
POR	POR3	605	601
POR	POR3	611	601
POR	POR3	019	018
POR	POR3	021	020
POS	POS1	092	091
POS	POS1	203	013
POS	POS1	412	051
POS	POS1	301	024
POS	POS1	608	601
POS	POS1	602	601
POS	POS1	623	601
POS	POS1	622	601
POS	POS1	625	601
POS	POS1	502	030
POS	POS1	704	035
POS	POS1	102	046
POS	POS1	091	091
POS	POS1	202	012
POS	POS1	204	014
POS	POS1	411	052
POS	POS1	615	601
POS	POS1	613	601
POS	POS1	601	601
POS	POS1	618	601
POS	POS1	705	034
POS	POS1	702	036
POS	POS1	103	047
POS	POS1	107	008
POS	POS1	410	403
POS	POS1	408	401
POS	POS1	614	601
POS	POS1	616	601
POS	POS1	619	601
POS	POS1	503	029
POS	POS1	703	036
POS	POS1	409	403
POS	POS1	407	401
POS	POS1	609	601
POS	POS1	617	601
POS	POS1	620	601
POS	POS1	607	601
POS	POS1	621	601
POS	POS1	624	601
POS	POS1	093	091
POS	POS1	094	091
POS	POS1	201	011
POS	POS1	004	004
POS	POS1	008	008
POS	POS1	006	005
POS	POS1	007	005
POS	POS1	009	009
POS	POS1	010	010
POS	POS1	011	011
POS	POS1	012	012
POS	POS1	015	015
POS	POS1	018	018
POS	POS1	020	020
POS	POS1	023	022
POS	POS1	022	022
POS	POS1	024	024
POS	POS1	026	026
POS	POS1	027	027
POS	POS1	028	029
POS	POS1	031	031
POS	POS1	032	032
POS	POS1	025	025
POS	POS1	033	033
POS	POS1	034	034
POS	POS1	035	035
POS	POS1	036	036
POS	POS1	040	040
POS	POS1	037	037
POS	POS1	039	039
POS	POS1	038	038
POS	POS1	041	041
POS	POS1	042	042
POS	POS1	046	046
POS	POS1	044	045
POS	POS1	043	042
POS	POS1	049	049
POS	POS1	050	050
POS	POS1	051	051
POS	POS1	052	052
POS	POS1	009H	009
POS	POS1	016	015
POS	POS1	017	015
POS	POS1	029	029
POS	POS1	030	030
POS	POS1	013	013
POS	POS1	014	014
POS	POS1	003	003
POS	POS1	005	005
